sourcе,stеm,last stem vowel,verb class,stem0,stem1,stem2,stеm tуpе,stem notes,principlе pаrts,unaccented principle parts,infinitivе,prеsеncе,futurе,аorist,impеrаtivе,mаsdаr,аgrееmеnt_slot,vеrb formаtion,verb formation stеm,pos_verb formation stem,vаriаtion,cаusаtivе,rеduplicаtion,аnothеr stеm rеduplicаtion,-ахъд,-д,rеduplicаtеd + д,rеduplicаtеd + р > д,rеduplicаtеd + л > д,rеduplicаtеd + м > д,-гъ,-х,-ар,-анхъ,-ар-д,-д-ар,-олд,и > е,у > е,-тI,dеfinition,id_dеfinition,X,Y,X2,Y2,lability,transitivity,light verb,context,context_ru,example_source,mеаning_ru,rеfеrеncе,notеs,commеnts,context2,еxаmplе_sourcе
"къóс/ине (-уна, -ина, -ана, -а) 1) сбиться с пути, заблудиться; магІарда нух ~ун хутІана ниж мы заблудились в горах 2) заблуждаться в чём-л.; сбиться с [правильного] пути; ~ун ккезе заблуждаться; ~арав чи прям. и перен. заблудшийся человек 3) совратиться 4) рел. (по)грешить; поддаться греховному искушению; ~ун чи хогеги да не умрёт человек, поддавшись греховному искушению",къóс,и,1n,къóс,къóси,къóсa,,,-уна; -ина; -ана,-уна; -ина; -ана,-ине,-уна,-ина,-ана,-а,-ин,0,,,,,къóсинаб,,,,,,,,,,,,,,,,,,,совратиться,3,ABS,N/A,,,,,,~ун чи хогеги,"да не умрёт человек, поддавшись греховному искушению",Гимбатов М.М. Аварско-русский словарь. 2006. / соседнее значение той же статьи,совратиться,Gimbаtov 2006,,,,
"къóс/ине (-уна, -ина, -ана, -а) 1) сбиться с пути, заблудиться; магІарда нух ~ун хутІана ниж мы заблудились в горах 2) заблуждаться в чём-л.; сбиться с [правильного] пути; ~ун ккезе заблуждаться; ~арав чи прям. и перен. заблудшийся человек 3) совратиться 4) рел. (по)грешить; поддаться греховному искушению; ~ун чи хогеги да не умрёт человек, поддавшись греховному искушению",къóс,и,1n,къóс,къóси,къóсa,,,-уна; -ина; -ана,-уна; -ина; -ана,-ине,-уна,-ина,-ана,-а,-ин,0,,,,,къóсинаб,,,,,,,,,,,,,,,,,,,"рел. (по)грешить; поддаться греховному искушению; ~ун чи хогеги да не умрёт человек, поддавшись греховному искушению",4,ABS,N/A,,,,,,~ун,"чи хогеги да не умрёт человек, поддавшись греховному искушению",Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,погрешить,Gimbаtov 2006,,,,
"къотІáризаб/изе (-ула, -ила, -уна, -е) понуд. от къотІáризе",къотІáризаб,и,2,къотІáризаб,къотІáризаби,къотІáризабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,къотІáр,verb,,,,,,,,,,,,,,,,,,,,,понуд. от къотІáризе,1,ERG,ABS,,,,,,,,,понуд. от къотІáризе,Gimbаtov 2006,,,,
"къóтІизаб/изе (-ула, -ила, -уна, -е) понуд. от къóтІизе",къóтІизаб,и,2,къóтІизаб,къóтІизаби,къóтІизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,къóтІ,verb,,,,,,,,,,,,,,,,,,,,,понуд. от къóтІизе,1,ERG,ABS,,,,,,,,,понуд. от къóтІизе,Gimbаtov 2006,,,,
"къóтІ/изе (-ула, -ила, -ана, -е) 1) (от)резать, разрезать, порезать, срезать, вырезать что-л.; гьан ~изе отрезать мяса; кагъат ~изе резать бумагу; сурат ~изе вырезать картинку; цІер ~изе резать стекло 2) (по)рубить, срубить, обрубить, вырубить что-л.; отсекать, отсечь, ампутировать что-л.; бетІер ~изе отсечь голову; бетІер ~аниги разилъиларо хоть голову отсеки — не соглашусь; бох ~изе ампутировать ногу; гъветІ ~изе срубить дерево: гІаркьел ~изе отрубить ветку; рохь ~изе валить лес; цІул ~изе рубить дрова; ~ун рехизе отрубить 3) (от)стричь; малъал ~зе отстричь ногти 4) преграждать, преградить, перерезать; нух ~изе преградить дорогу 5) прекращаться, прекратиться; прерываться, прерваться: гьоркьоб ~изе перерываться; гьури ~ана ветер прекратился; зурзур ~ана жалобы прекратились; хабар ~ана вести прекратились; нет вестей; хІухьел ~ана дыхание прервалось; цІад ~ана дождь прекратился 6) проходить, пройти; проезжать, проехать; переходить, перейти, перепливать, переплить что-л.; переправляться, переправиться, переваливать, перевалить через что-л.; мегІер ~изе перевалить хребет; ралъад ~изе переплить море; кІудияб манзил ~ун ана гъол они прошли большое расстояние 7) (по)терять чего-л.; кІал ~изе потерять дар речи; хьул ~изе потерять надежду 8) (вы)гонять; (вы)сылать; гІачи лъетІе ~изе гонять коров на водопой 9) выткать (палас, ковёр и т. п.); турут ~изе выткать горский палас  рагІи ~изе прекословить",къóтІ,и,1,къóтІ,къóтІи,къóтІа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,къóтІизаб,,,,,,,,,,,,,,,,,,,"(от)резать, разрезать, порезать, срезать, вырезать что-л.; гьан ~изе отрезать мяса; кагъат ~изе резать бумагу; сурат ~изе вырезать картинку; цІер ~изе резать стекло",1,N/A,ABS,,,,,,гьан ~изе,отрезать мяса,Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,отрезать,Gimbаtov 2006,,,,
"къóтІ/изе (-ула, -ила, -ана, -е) 1) (от)резать, разрезать, порезать, срезать, вырезать что-л.; гьан ~изе отрезать мяса; кагъат ~изе резать бумагу; сурат ~изе вырезать картинку; цІер ~изе резать стекло 2) (по)рубить, срубить, обрубить, вырубить что-л.; отсекать, отсечь, ампутировать что-л.; бетІер ~изе отсечь голову; бетІер ~аниги разилъиларо хоть голову отсеки — не соглашусь; бох ~изе ампутировать ногу; гъветІ ~изе срубить дерево: гІаркьел ~изе отрубить ветку; рохь ~изе валить лес; цІул ~изе рубить дрова; ~ун рехизе отрубить 3) (от)стричь; малъал ~зе отстричь ногти 4) преграждать, преградить, перерезать; нух ~изе преградить дорогу 5) прекращаться, прекратиться; прерываться, прерваться: гьоркьоб ~изе перерываться; гьури ~ана ветер прекратился; зурзур ~ана жалобы прекратились; хабар ~ана вести прекратились; нет вестей; хІухьел ~ана дыхание прервалось; цІад ~ана дождь прекратился 6) проходить, пройти; проезжать, проехать; переходить, перейти, перепливать, переплить что-л.; переправляться, переправиться, переваливать, перевалить через что-л.; мегІер ~изе перевалить хребет; ралъад ~изе переплить море; кІудияб манзил ~ун ана гъол они прошли большое расстояние 7) (по)терять чего-л.; кІал ~изе потерять дар речи; хьул ~изе потерять надежду 8) (вы)гонять; (вы)сылать; гІачи лъетІе ~изе гонять коров на водопой 9) выткать (палас, ковёр и т. п.); турут ~изе выткать горский палас  рагІи ~изе прекословить",къóтІ,и,1,къóтІ,къóтІи,къóтІа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,къóтІизаб,,,,,,,,,,,,,,,,,,,"(по)рубить, срубить, обрубить, вырубить что-л.; отсекать, отсечь, ампутировать что-л.; бетІер ~изе отсечь голову; бетІер ~аниги разилъиларо хоть голову отсеки — не соглашусь; бох ~изе ампутировать ногу; гъветІ ~изе срубить дерево: гІаркьел ~изе отрубить ветку; рохь ~изе валить лес; цІул ~изе рубить дрова; ~ун рехизе отрубить",2,N/A,ABS,,,,,,бетІер ~изе,отсечь голову,Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,порубить,Gimbаtov 2006,,,,
"къóтІ/изе (-ула, -ила, -ана, -е) 1) (от)резать, разрезать, порезать, срезать, вырезать что-л.; гьан ~изе отрезать мяса; кагъат ~изе резать бумагу; сурат ~изе вырезать картинку; цІер ~изе резать стекло 2) (по)рубить, срубить, обрубить, вырубить что-л.; отсекать, отсечь, ампутировать что-л.; бетІер ~изе отсечь голову; бетІер ~аниги разилъиларо хоть голову отсеки — не соглашусь; бох ~изе ампутировать ногу; гъветІ ~изе срубить дерево: гІаркьел ~изе отрубить ветку; рохь ~изе валить лес; цІул ~изе рубить дрова; ~ун рехизе отрубить 3) (от)стричь; малъал ~зе отстричь ногти 4) преграждать, преградить, перерезать; нух ~изе преградить дорогу 5) прекращаться, прекратиться; прерываться, прерваться: гьоркьоб ~изе перерываться; гьури ~ана ветер прекратился; зурзур ~ана жалобы прекратились; хабар ~ана вести прекратились; нет вестей; хІухьел ~ана дыхание прервалось; цІад ~ана дождь прекратился 6) проходить, пройти; проезжать, проехать; переходить, перейти, перепливать, переплить что-л.; переправляться, переправиться, переваливать, перевалить через что-л.; мегІер ~изе перевалить хребет; ралъад ~изе переплить море; кІудияб манзил ~ун ана гъол они прошли большое расстояние 7) (по)терять чего-л.; кІал ~изе потерять дар речи; хьул ~изе потерять надежду 8) (вы)гонять; (вы)сылать; гІачи лъетІе ~изе гонять коров на водопой 9) выткать (палас, ковёр и т. п.); турут ~изе выткать горский палас  рагІи ~изе прекословить",къóтІ,и,1,къóтІ,къóтІи,къóтІа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,къóтІизаб,,,,,,,,,,,,,,,,,,,(от)стричь; малъал ~зе отстричь ногти,3,N/A,ABS,,,,,,малъал ~зе,отстричь ногти,Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,отстричь,Gimbаtov 2006,,,,
"къóтІ/изе (-ула, -ила, -ана, -е) 1) (от)резать, разрезать, порезать, срезать, вырезать что-л.; гьан ~изе отрезать мяса; кагъат ~изе резать бумагу; сурат ~изе вырезать картинку; цІер ~изе резать стекло 2) (по)рубить, срубить, обрубить, вырубить что-л.; отсекать, отсечь, ампутировать что-л.; бетІер ~изе отсечь голову; бетІер ~аниги разилъиларо хоть голову отсеки — не соглашусь; бох ~изе ампутировать ногу; гъветІ ~изе срубить дерево: гІаркьел ~изе отрубить ветку; рохь ~изе валить лес; цІул ~изе рубить дрова; ~ун рехизе отрубить 3) (от)стричь; малъал ~зе отстричь ногти 4) преграждать, преградить, перерезать; нух ~изе преградить дорогу 5) прекращаться, прекратиться; прерываться, прерваться: гьоркьоб ~изе перерываться; гьури ~ана ветер прекратился; зурзур ~ана жалобы прекратились; хабар ~ана вести прекратились; нет вестей; хІухьел ~ана дыхание прервалось; цІад ~ана дождь прекратился 6) проходить, пройти; проезжать, проехать; переходить, перейти, перепливать, переплить что-л.; переправляться, переправиться, переваливать, перевалить через что-л.; мегІер ~изе перевалить хребет; ралъад ~изе переплить море; кІудияб манзил ~ун ана гъол они прошли большое расстояние 7) (по)терять чего-л.; кІал ~изе потерять дар речи; хьул ~изе потерять надежду 8) (вы)гонять; (вы)сылать; гІачи лъетІе ~изе гонять коров на водопой 9) выткать (палас, ковёр и т. п.); турут ~изе выткать горский палас  рагІи ~изе прекословить",къóтІ,и,1,къóтІ,къóтІи,къóтІа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,къóтІизаб,,,,,,,,,,,,,,,,,,,"преграждать, преградить, перерезать; нух ~изе преградить дорогу",4,N/A,ABS,,,,,,нух ~изе,преградить дорогу,Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,преграждать,Gimbаtov 2006,,,,
"къóтІ/изе (-ула, -ила, -ана, -е) 1) (от)резать, разрезать, порезать, срезать, вырезать что-л.; гьан ~изе отрезать мяса; кагъат ~изе резать бумагу; сурат ~изе вырезать картинку; цІер ~изе резать стекло 2) (по)рубить, срубить, обрубить, вырубить что-л.; отсекать, отсечь, ампутировать что-л.; бетІер ~изе отсечь голову; бетІер ~аниги разилъиларо хоть голову отсеки — не соглашусь; бох ~изе ампутировать ногу; гъветІ ~изе срубить дерево: гІаркьел ~изе отрубить ветку; рохь ~изе валить лес; цІул ~изе рубить дрова; ~ун рехизе отрубить 3) (от)стричь; малъал ~зе отстричь ногти 4) преграждать, преградить, перерезать; нух ~изе преградить дорогу 5) прекращаться, прекратиться; прерываться, прерваться: гьоркьоб ~изе перерываться; гьури ~ана ветер прекратился; зурзур ~ана жалобы прекратились; хабар ~ана вести прекратились; нет вестей; хІухьел ~ана дыхание прервалось; цІад ~ана дождь прекратился 6) проходить, пройти; проезжать, проехать; переходить, перейти, перепливать, переплить что-л.; переправляться, переправиться, переваливать, перевалить через что-л.; мегІер ~изе перевалить хребет; ралъад ~изе переплить море; кІудияб манзил ~ун ана гъол они прошли большое расстояние 7) (по)терять чего-л.; кІал ~изе потерять дар речи; хьул ~изе потерять надежду 8) (вы)гонять; (вы)сылать; гІачи лъетІе ~изе гонять коров на водопой 9) выткать (палас, ковёр и т. п.); турут ~изе выткать горский палас  рагІи ~изе прекословить",къóтІ,и,1,къóтІ,къóтІи,къóтІа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,къóтІизаб,,,,,,,,,,,,,,,,,,,"прекращаться, прекратиться; прерываться, прерваться: гьоркьоб ~изе перерываться; гьури ~ана ветер прекратился; зурзур ~ана жалобы прекратились; хабар ~ана вести прекратились; нет вестей; хІухьел ~ана дыхание прервалось; цІад ~ана дождь прекратился",5,N/A,ABS,,,,,,"прерываться, прерваться: гьоркьоб ~изе",перерываться,Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,прекращаться,Gimbаtov 2006,,,,
"къóтІ/изе (-ула, -ила, -ана, -е) 1) (от)резать, разрезать, порезать, срезать, вырезать что-л.; гьан ~изе отрезать мяса; кагъат ~изе резать бумагу; сурат ~изе вырезать картинку; цІер ~изе резать стекло 2) (по)рубить, срубить, обрубить, вырубить что-л.; отсекать, отсечь, ампутировать что-л.; бетІер ~изе отсечь голову; бетІер ~аниги разилъиларо хоть голову отсеки — не соглашусь; бох ~изе ампутировать ногу; гъветІ ~изе срубить дерево: гІаркьел ~изе отрубить ветку; рохь ~изе валить лес; цІул ~изе рубить дрова; ~ун рехизе отрубить 3) (от)стричь; малъал ~зе отстричь ногти 4) преграждать, преградить, перерезать; нух ~изе преградить дорогу 5) прекращаться, прекратиться; прерываться, прерваться: гьоркьоб ~изе перерываться; гьури ~ана ветер прекратился; зурзур ~ана жалобы прекратились; хабар ~ана вести прекратились; нет вестей; хІухьел ~ана дыхание прервалось; цІад ~ана дождь прекратился 6) проходить, пройти; проезжать, проехать; переходить, перейти, перепливать, переплить что-л.; переправляться, переправиться, переваливать, перевалить через что-л.; мегІер ~изе перевалить хребет; ралъад ~изе переплить море; кІудияб манзил ~ун ана гъол они прошли большое расстояние 7) (по)терять чего-л.; кІал ~изе потерять дар речи; хьул ~изе потерять надежду 8) (вы)гонять; (вы)сылать; гІачи лъетІе ~изе гонять коров на водопой 9) выткать (палас, ковёр и т. п.); турут ~изе выткать горский палас  рагІи ~изе прекословить",къóтІ,и,1,къóтІ,къóтІи,къóтІа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,къóтІизаб,,,,,,,,,,,,,,,,,,,"проходить, пройти; проезжать, проехать; переходить, перейти, перепливать, переплить что-л.; переправляться, переправиться, переваливать, перевалить через что-л.; мегІер ~изе перевалить хребет; ралъад ~изе переплить море; кІудияб манзил ~ун ана гъол они прошли большое расстояние",6,N/A,ABS,,,,,,мегІер ~изе,перевалить хребет,Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,проходить,Gimbаtov 2006,,,,
"къóтІ/изе (-ула, -ила, -ана, -е) 1) (от)резать, разрезать, порезать, срезать, вырезать что-л.; гьан ~изе отрезать мяса; кагъат ~изе резать бумагу; сурат ~изе вырезать картинку; цІер ~изе резать стекло 2) (по)рубить, срубить, обрубить, вырубить что-л.; отсекать, отсечь, ампутировать что-л.; бетІер ~изе отсечь голову; бетІер ~аниги разилъиларо хоть голову отсеки — не соглашусь; бох ~изе ампутировать ногу; гъветІ ~изе срубить дерево: гІаркьел ~изе отрубить ветку; рохь ~изе валить лес; цІул ~изе рубить дрова; ~ун рехизе отрубить 3) (от)стричь; малъал ~зе отстричь ногти 4) преграждать, преградить, перерезать; нух ~изе преградить дорогу 5) прекращаться, прекратиться; прерываться, прерваться: гьоркьоб ~изе перерываться; гьури ~ана ветер прекратился; зурзур ~ана жалобы прекратились; хабар ~ана вести прекратились; нет вестей; хІухьел ~ана дыхание прервалось; цІад ~ана дождь прекратился 6) проходить, пройти; проезжать, проехать; переходить, перейти, перепливать, переплить что-л.; переправляться, переправиться, переваливать, перевалить через что-л.; мегІер ~изе перевалить хребет; ралъад ~изе переплить море; кІудияб манзил ~ун ана гъол они прошли большое расстояние 7) (по)терять чего-л.; кІал ~изе потерять дар речи; хьул ~изе потерять надежду 8) (вы)гонять; (вы)сылать; гІачи лъетІе ~изе гонять коров на водопой 9) выткать (палас, ковёр и т. п.); турут ~изе выткать горский палас  рагІи ~изе прекословить",къóтІ,и,1,къóтІ,къóтІи,къóтІа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,къóтІизаб,,,,,,,,,,,,,,,,,,,(по)терять чего-л.; кІал ~изе потерять дар речи; хьул ~изе потерять надежду,7,N/A,ABS,,,,,,кІал ~изе,потерять дар речи,Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,потерять чего-л.,Gimbаtov 2006,,,,
"къóтІ/изе (-ула, -ила, -ана, -е) 1) (от)резать, разрезать, порезать, срезать, вырезать что-л.; гьан ~изе отрезать мяса; кагъат ~изе резать бумагу; сурат ~изе вырезать картинку; цІер ~изе резать стекло 2) (по)рубить, срубить, обрубить, вырубить что-л.; отсекать, отсечь, ампутировать что-л.; бетІер ~изе отсечь голову; бетІер ~аниги разилъиларо хоть голову отсеки — не соглашусь; бох ~изе ампутировать ногу; гъветІ ~изе срубить дерево: гІаркьел ~изе отрубить ветку; рохь ~изе валить лес; цІул ~изе рубить дрова; ~ун рехизе отрубить 3) (от)стричь; малъал ~зе отстричь ногти 4) преграждать, преградить, перерезать; нух ~изе преградить дорогу 5) прекращаться, прекратиться; прерываться, прерваться: гьоркьоб ~изе перерываться; гьури ~ана ветер прекратился; зурзур ~ана жалобы прекратились; хабар ~ана вести прекратились; нет вестей; хІухьел ~ана дыхание прервалось; цІад ~ана дождь прекратился 6) проходить, пройти; проезжать, проехать; переходить, перейти, перепливать, переплить что-л.; переправляться, переправиться, переваливать, перевалить через что-л.; мегІер ~изе перевалить хребет; ралъад ~изе переплить море; кІудияб манзил ~ун ана гъол они прошли большое расстояние 7) (по)терять чего-л.; кІал ~изе потерять дар речи; хьул ~изе потерять надежду 8) (вы)гонять; (вы)сылать; гІачи лъетІе ~изе гонять коров на водопой 9) выткать (палас, ковёр и т. п.); турут ~изе выткать горский палас  рагІи ~изе прекословить",къóтІ,и,1,къóтІ,къóтІи,къóтІа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,къóтІизаб,,,,,,,,,,,,,,,,,,,(вы)гонять; (вы)сылать; гІачи лъетІе ~изе гонять коров на водопой,8,N/A,ABS,,,,,,гІачи лъетІе ~изе,гонять коров на водопой,Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,выгонять,Gimbаtov 2006,,,,
"къóтІ/изе (-ула, -ила, -ана, -е) 1) (от)резать, разрезать, порезать, срезать, вырезать что-л.; гьан ~изе отрезать мяса; кагъат ~изе резать бумагу; сурат ~изе вырезать картинку; цІер ~изе резать стекло 2) (по)рубить, срубить, обрубить, вырубить что-л.; отсекать, отсечь, ампутировать что-л.; бетІер ~изе отсечь голову; бетІер ~аниги разилъиларо хоть голову отсеки — не соглашусь; бох ~изе ампутировать ногу; гъветІ ~изе срубить дерево: гІаркьел ~изе отрубить ветку; рохь ~изе валить лес; цІул ~изе рубить дрова; ~ун рехизе отрубить 3) (от)стричь; малъал ~зе отстричь ногти 4) преграждать, преградить, перерезать; нух ~изе преградить дорогу 5) прекращаться, прекратиться; прерываться, прерваться: гьоркьоб ~изе перерываться; гьури ~ана ветер прекратился; зурзур ~ана жалобы прекратились; хабар ~ана вести прекратились; нет вестей; хІухьел ~ана дыхание прервалось; цІад ~ана дождь прекратился 6) проходить, пройти; проезжать, проехать; переходить, перейти, перепливать, переплить что-л.; переправляться, переправиться, переваливать, перевалить через что-л.; мегІер ~изе перевалить хребет; ралъад ~изе переплить море; кІудияб манзил ~ун ана гъол они прошли большое расстояние 7) (по)терять чего-л.; кІал ~изе потерять дар речи; хьул ~изе потерять надежду 8) (вы)гонять; (вы)сылать; гІачи лъетІе ~изе гонять коров на водопой 9) выткать (палас, ковёр и т. п.); турут ~изе выткать горский палас  рагІи ~изе прекословить",къóтІ,и,1,къóтІ,къóтІи,къóтІа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,къóтІизаб,,,,,,,,,,,,,,,,,,,"выткать (палас, ковёр и т. п.); турут ~изе выткать горский палас  рагІи ~изе прекословить",9,N/A,ABS,,,,,,турут ~изе,выткать горский палас  рагІи ~изе прекословить,Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,выткать палас,Gimbаtov 2006,,,,
"къотІ-къóтІ/изе (-ула, -ила, -ана, е) изрубить на куски; нарезать куски чего-л.",къотІ-къóтІ,и,1,къотІ-къóтІ,къотІ-къóтІи,къотІ-къóтІа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,,,,,,,,,,,,,,,,,,,,изрубить на куски; нарезать куски чего-л.,1,ERG,ABS,,,,,,,,,изрубить на куски,Gimbаtov 2006,,,,
"къочáризаб/изе (-ула, -ила, -уна, -е) учащ. понуд. принуждать, принудить кого-л. целоваться с кем-л.",къочáризаб,и,2,къочáризаб,къочáризаби,къочáризабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,къóч,verb,,,,,,,,,,,,,,,,,,,,,"учащ. понуд. принуждать, принудить кого-л. целоваться с кем-л.",1,ERG,ABS,,,,,,,,,принуждать целоваться,Gimbаtov 2006,,,,
"къочáр/изе (-ула, -ила, -ана, е) учащ. целоваться (обнявшись с кем-л.); дуда ~изе къечон йиго, хирияв я жажду, дорогой, целоваться с тобой",къочáр,и,1,къочáр,къочáри,къочáра,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,durative -ар,къóч,verb,,къочáризаб,,,,,,,,,,,,,,,,,,,"учащ. целоваться (обнявшись с кем-л.); дуда ~изе къечон йиго, хирияв я жажду, дорогой, целоваться с тобой",1,DAT,ABS,,,,,,дуда ~изе къечон,"йиго, хирияв я жажду, дорогой, целоваться с тобой",Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,целоваться,Gimbаtov 2006,,,,
"къóчизаб/изе (-ула, -ила, -уна, -е) понуд. принуждать, принудить (по)целовать кого-л.",къóчизаб,и,2,къóчизаб,къóчизаби,къóчизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,къóч,verb,,,,,,,,,,,,,,,,,,,,,"понуд. принуждать, принудить (по)целовать кого-л.",1,ERG,ABS,,,,,,,,,принуждать поцеловать,Gimbаtov 2006,,,,
"къóч/изе (-ула, -ила, -ана, е) поцеловать; цо ~е, эбелхвад, дида поцелуй меня, да умрёт твоя мать (ласк.)",къóч,и,1,къóч,къóчи,къóча,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,къóчизаб,,,,,,,,,,,къочáр,,,,,,,,"поцеловать; цо ~е, эбелхвад, дида поцелуй меня, да умрёт твоя мать (ласк.)",1,DAT,ABS,,,,,,"цо ~е, эбелхвад, дида","поцелуй меня, да умрёт твоя мать (ласк.)",Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,поцеловать,Gimbаtov 2006,,,,
"къýкІизаб/изе (-ула, -ила, -уна, -е) диал. см. къýлизабизе",къýкІизаб,и,2,къýкІизаб,къýкІизаби,къýкІизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,,,,,,,,,,,,,,,,,,,,,,,,диал. см. къýлизабизе,1,N/A,N/A,,,,,,,,,см. къýлизабизе,Gimbаtov 2006,,,,
"къýкІ/изе (-ула, -ила, -ана, е) диал. см. къýлизе",къýкІ,и,1,къýкІ,къýкІи,къýкІа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,,,,,,,,,,,,,,,,,,,,диал. см. къýлизе,1,N/A,N/A,,,,,,,,,см. къýлизе,Gimbаtov 2006,,,,
"къýла-(в)орх/изе (-ула, -ила, -ана, -е) придерживаться хороших манер; букв. поклоняться и выпрамляться; ~изе лъаларев не приученный хорошим манерам; не умеющий ни поклоняться ни выпрамляться",къýла-(в)орх,и,1,къýла-(в)орх,къýла-(в)орхи,къýла-(в)орха,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,1,,,,,,,,,,,,,,,,,,,,,,,,"(-ула, -ила, -ана, -е) придерживаться хороших манер; букв. поклоняться и выпрамляться; ~изе лъаларев не приученный хорошим манерам; не умеющий ни поклоняться ни выпрамляться",1,N/A,ABS,,,,,,~изе лъаларев,не приученный хорошим манерам,Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,придерживаться хороших манер,Gimbаtov 2006,,,,
"къýлизаб/изе (-ула, -ила, -уна, -е) понуд. сгибать, согнуть (напр. спину); нагибать, нагнуть, наклонять, склонять, склонить (напр. голову); васасул рухІалица къулизаюн йиго дой её согнула гибель сына см. къýкІизабизе",къýлизаб,и,2,къýлизаб,къýлизаби,къýлизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,къýл,verb,,,,,,,,,,,,,,,,,,,,,"понуд. сгибать, согнуть (напр. спину); нагибать, нагнуть, наклонять, склонять, склонить (напр. голову); васасул рухІалица къулизаюн йиго дой её согнула гибель сына см. къýкІизабизе",1,ABS,N/A,,,,,,васасул рухІалица къулизаюн йиго дой,её согнула гибель сына см. къýкІизабизе,Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,сгибать,Gimbаtov 2006,,,,
"къýл/изе (-ула, -ила, -ана, -е) 1) сгибаться, согнуться; нагибаться, нагнуться; наклоняться, наклониться, склоняться, склониться; кланяться, поклониться; лъимада тІаде ~изе склониться над ребёнком; ~ун валагьизе смотреть нагинаясь  бетІер ~изе наклонить голову 2) (с)горбиться; сгибаться, согнуться; мугъ ~изе сгорбиться; херлъун ~изе горбиться от старости; ~изеги гьавун ине идти сгорбившись, согнувшись; досул гьод ~ун буго спина его согнулась см. къýкІизе",къýл,и,1,къýл,къýли,къýла,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,къýлизаб,,,,,,,,,,,,,,,,,,,"сгибаться, согнуться; нагибаться, нагнуться; наклоняться, наклониться, склоняться, склониться; кланяться, поклониться; лъимада тІаде ~изе склониться над ребёнком; ~ун валагьизе смотреть нагинаясь  бетІер ~изе наклонить голову",1,N/A,LOC,,,,,,лъимада тІаде ~изе,склониться над ребёнком,Гимбатов М.М. Аварско-русский словарь. 2006. / строка таблицы,сгибаться,Gimbаtov 2006,,,,
